Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
04-10-2024,EQ,1150,1154.75,1125.2,1152.75,1136.3,1130.4,1138.71,1269,855,1773781,2019820080,78875,TATA
03-10-2024,EQ,1186,1190,1150.15,1196.25,1155.2,1152.75,1161.65,1269,855,1912206,2221307562,92483,TATA
01-10-2024,EQ,1196.95,1205.45,1191.6,1196.95,1195,1196.25,1197.17,1269,855,892381,1068332277,58771,TATA
30-09-2024,EQ,1194.95,1213.65,1194.95,1201.55,1197,1196.95,1200.53,1269,855,1223096,1468365054,44540,TATA
27-09-2024,EQ,1213.95,1215.7,1199,1213.45,1202,1201.55,1205.26,1269,855,2177204,2624090765,74731,TATA
26-09-2024,EQ,1195,1217,1191.15,1189.6,1210.95,1213.45,1205.19,1269,855,2323705,2800499638,106338,TATA
25-09-2024,EQ,1213.9,1216,1182.05,1211.65,1189,1189.6,1190.36,1269,855,2448744,2914898474,75670,TATA
24-09-2024,EQ,1216,1227.9,1210.05,1211.55,1213.9,1211.65,1214.9,1269,855,3393528,4122802787,50801,TATA
23-09-2024,EQ,1222,1233.65,1210.25,1216.85,1212.4,1211.55,1217.88,1269,855,2818001,3431987173,74709,TATA
20-09-2024,EQ,1220,1230.95,1213.35,1215.25,1220.6,1216.85,1219.83,1269,855,3533125,4309796616,85596,TATA
19-09-2024,EQ,1207,1225.6,1204.05,1200.85,1216,1215.25,1216.49,1269,855,2737652,3330322560,70782,TATA
18-09-2024,EQ,1220.25,1223.4,1194,1220.25,1202.1,1200.85,1203.62,1269,855,930896,1120445977,42231,TATA
17-09-2024,EQ,1223,1234.3,1212.15,1218.5,1218.1,1220.25,1221.26,1269,855,1450593,1771554540,39585,TATA
16-09-2024,EQ,1220,1223.75,1207,1210.3,1220,1218.5,1216.97,1269,855,984584,1198207117,45496,TATA
13-09-2024,EQ,1226,1227,1208.05,1222.75,1209.9,1210.3,1211.85,1269,854.75,1569211,1901642298,36277,TATA
12-09-2024,EQ,1210,1225.95,1199.35,1204.4,1223,1222.75,1210.69,1269,854.75,2635403,3190654262,102064,TATA
11-09-2024,EQ,1209.9,1219,1201.25,1204.15,1203.35,1204.4,1209.29,1269,854.75,1837013,2221478697,70635,TATA
10-09-2024,EQ,1200,1212.95,1196.25,1192.05,1201.55,1204.15,1206.69,1269,854.75,1815998,2191355275,90030,TATA
09-09-2024,EQ,1173.85,1195.95,1169.9,1173.85,1190.65,1192.05,1189.32,1269,854.75,1969830,2342753532,92282,TATA
06-09-2024,EQ,1188,1191.75,1168.75,1188.65,1175,1173.85,1177.09,1269,837,989655,1164908998,44843,TATA
05-09-2024,EQ,1199.5,1206.85,1185.65,1194.95,1187.4,1188.65,1194.21,1269,837,1062421,1268749123,41443,TATA
04-09-2024,EQ,1196.05,1198.95,1175,1199,1193.45,1194.95,1186.82,1269,837,1633635,1938828301,53326,TATA
12-07-2025,EQ,904.95,912.95,896.8,902.75,905,907.3,907.84,1269,882.9,1038280,942593704.7,38242,TATA
23-12-2024,EQ,894.95,906,890,889.45,900.4,902.75,898.31,1269,882.9,1054695,947446171.4,54923,TATA
30-08-2024,EQ,1195,1207.5,1195,1198.45,1202.5,1200.15,1200.2,1269,828.25,2550399,3060989865,59289,TATA
29-08-2024,EQ,1201.15,1208.9,1185.25,1201.15,1195,1198.45,1196.97,1269,828.25,1062444,1271717219,66299,TATA
28-08-2024,EQ,1210,1215.35,1196.6,1209.6,1197.3,1201.15,1205.96,1269,828.25,779730,940322031.5,39755,TATA
